UniqueStationID,Park,Loop,Station,Latitude,Longitude,Canopy.m2.2021,CanopyProp2021,Canopy.m2.2016,CanopyProp2016,DeltaCanopy,mDowntown,mMajorWater
108,Discovery,North Loop Trail,DNL5,47.663617,-122.4162,7140.489377,0.909155534,7852.217416,0.999775581,-0.090640389,6525.613838,638.52
109,Discovery,North Loop Trail,DNL6,47.662633,-122.416417,6076.170338,0.773642196,6702.10763,0.853339024,-0.093394097,6452.741401,688.59
110,Discovery,North Loop Trail,DNL7,47.660583,-122.414833,1818.217482,0.231502688,1627.857956,0.207265355,0.116938659,6202.621492,839.42
111,Discovery,North Loop Trail,DNL8,47.661267,-122.412117,6858.739096,0.873281966,6073.451818,0.773296064,0.129298347,6128.794822,710.82
112,Discovery,North Loop Trail,DNL9,47.660367,-122.409033,5867.723318,0.747101892,5999.819118,0.763920855,-0.02201663,5905.839087,706.46
116,Discovery,South Beach Trail,DSB2,47.6594,-122.42405,6794.634007,0.865119851,6185.938963,0.787618375,0.098399782,6587.668051,208.06
118,Discovery,South Beach Trail,DSB4,47.659417,-122.426333,7404.471947,0.942766845,7853.686606,0.999962644,-0.057197935,6714.348276,97.42
121,Discovery,South Beach Trail,DSB7,47.66015,-122.42965,5197.936263,0.661821938,5453.01885,0.694300068,-0.046778233,6953.9294,48.39
124,Discovery,South Loop Trail,DSL2,47.656167,-122.406056,5709.478991,0.726953594,6412.606158,0.816478544,-0.109647646,5401.651539,1106.63
126,Discovery,South Loop Trail,DSL4,47.656917,-122.408722,5370.981126,0.683854699,4921.080336,0.626571539,0.091423175,5594.075622,971.47
128,Discovery,South Loop Trail,DSL6,47.655556,-122.410833,3761.927153,0.478983541,3668.13371,0.467041387,0.025569799,5585.90258,757.66
129,Discovery,South Loop Trail,DSL7,47.657667,-122.413861,357.20155,0.045480323,338.777621,0.043134515,0.054383548,5912.636445,687.15
130,Discovery,South Loop Trail,DSL8,47.660083,-122.413028,3805.157086,0.484487748,3437.394217,0.437662716,0.106988854,6071.8288,858.17
132,Discovery,South Loop Trail,DSL10,47.658667,-122.407972,7352.732043,0.936179115,7619.775941,0.970180207,-0.035046161,5708.23645,876.46
133,Discovery,South Meadow,DSM1,47.65465,-122.413467,5197.882909,0.661815145,5097.412153,0.649022808,0.01971015,5649.911588,536.72
134,Discovery,South Meadow,DSM2,47.656233,-122.4164,1484.019221,0.188951235,1308.816976,0.166643788,0.13386306,5930.181995,438.73
135,Discovery,South Meadow,DSM3,47.658483,-122.417067,878.986534,0.111916065,744.210412,0.094755832,0.181099485,6143.799547,570.96
136,Discovery,South Meadow,DSM4,47.6595,-122.418317,4025.548525,0.512548864,3402.774192,0.433254756,0.183019589,6290.377266,553.86
137,Discovery,South Meadow,DSM5,47.658183,-122.420233,4198.802714,0.534608277,4088.844428,0.52060795,0.026892265,6287.399939,354.29
138,Discovery,South Meadow,DSM6,47.657967,-122.423117,5048.389733,0.642781078,5049.416731,0.64291184,-0.000203389,6427.46297,164.34
139,Discovery,South Meadow,DSM7,47.65685,-122.420567,131.599618,0.016755787,60.9803,0.007764255,1.158067737,6202.767414,254.96
140,Discovery,South Meadow,DSM8,47.655083,-122.41885,1012.030592,0.128855764,998.179004,0.127092125,0.013876858,5974.480999,215.09
141,Discovery,South Meadow,DSM9,47.654567,-122.415217,6278.277869,0.799375332,6084.599499,0.774715431,0.031830915,5736.866254,419.26
143,Discovery,Wolf Tree Nature Trail,DW2,47.66583,-122.41125,6969.2949,0.887358371,7821.374393,0.995848524,-0.108942425,6490.910328,958.585732
