park,loop,station,code,latitude,longitude,near_phase_0,near_phase_1,near_phase_2,near_phase_3,near_phase_4
Cheasty Greenspace,North,6,CGN6,47.563659,-122.301133,y,y,n,y,n
Cheasty Greenspace,North,7,CGN7,47.563636,-122.299937,y,y,n,y,n
Discovery Park,North Beach Trail,1,DNB1,47.665983,-122.4216,n,n,n,y,n
Discovery Park,North Beach Trail,2,DNB2,47.665917,-122.4221,n,n,n,y,n
Discovery Park,North Beach Trail,3,DNB3,47.666283,-122.422333,n,y,n,y,n
Discovery Park,North Beach Trail,4,DNB4,47.666867,-122.421567,n,y,n,y,n
Discovery Park,North Beach Trail,5,DNB5,47.66735,-122.4226,n,n,n,n,n
Discovery Park,North Loop Trail,1,DNL1,47.65855,-122.40625,n,n,y,n,y
Discovery Park,North Loop Trail,2,DNL2,47.661033,-122.407467,n,n,n,y,n
Discovery Park,North Loop Trail,3,DNL3,47.662583,-122.410167,n,n,y,y,n
Discovery Park,North Loop Trail,4,DNL4,47.663583,-122.41365,n,n,y,y,y
Discovery Park,North Loop Trail,5,DNL5,47.663617,-122.4162,n,n,n,n,y
Discovery Park,North Loop Trail,6,DNL6,47.662633,-122.416417,n,y,n,y,y
Discovery Park,North Loop Trail,7,DNL7,47.660583,-122.414833,n,n,n,y,n
Discovery Park,North Loop Trail,8,DNL8,47.661267,-122.412117,n,n,n,n,y
Discovery Park,North Loop Trail,9,DNL9,47.660367,-122.409033,n,n,y,y,y
Carkeek Park,Pipers Creek Loop,1,CP1,47.71,-122.3694,n,n,y,y,n
Carkeek Park,Pipers Creek Loop,2,CP2,47.7101,-122.3671,n,n,n,y,y
Carkeek Park,Pipers Creek Loop,3,CP3,47.7084,-122.3655,y,n,y,y,y
Carkeek Park,Pipers Creek Loop,4,CP4,47.7057,-122.3644,y,n,y,y,n
Carkeek Park,Pipers Creek Loop,5,CP5,47.7039,-122.3634,y,n,n,y,n
Carkeek Park,Pipers Creek Loop,6,CP6,47.7063,-122.3635,n,n,n,y,n
Carkeek Park,Pipers Creek Loop,7,CP7,47.7057,-122.3631,n,n,n,y,n
Lincoln Park,South,1,LS1,47.5291,-122.39455,n,n,n,y,n
Lincoln Park,South,2,LS2,47.527167,-122.3936,n,n,n,n,n
Lincoln Park,South,3,LS3,47.528533,-122.3974,n,y,n,y,n
Lincoln Park,South,4,LS4,47.530383,-122.398483,n,y,n,y,n
Lincoln Park,South,5,LS5,47.530533,-122.3962,n,n,n,y,y
Cheasty Greenspace,South,1,CGS1,47.561994,-122.301412,n,n,n,y,n
Cheasty Greenspace,South,2,CGS2,47.56199,-122.300426,n,n,y,y,n
Cheasty Greenspace,South,3,CGS3,47.561839,-122.299566,n,n,y,y,n
Cheasty Greenspace,South,4,CGS4,47.561931,-122.298734,y,n,y,y,n
Cheasty Greenspace,South,5,CGS5,47.562576,-122.299779,y,n,y,y,n
Cheasty Greenspace,South,6,CGS6,47.561555,-122.30049,n,n,n,y,n
Cheasty Greenspace,South,7,CGS7,47.561342,-122.301047,n,n,y,y,n
Discovery Park,South Beach Trail,1,DSB1,47.661533,-122.423983,n,n,n,y,y
Discovery Park,South Beach Trail,2,DSB2,47.6594,-122.42405,n,n,n,y,y
Discovery Park,South Beach Trail,3,DSB3,47.658333,-122.424267,y,n,n,y,n
Discovery Park,South Beach Trail,4,DSB4,47.659417,-122.426333,y,n,n,y,n
Discovery Park,South Beach Trail,5,DSB5,47.660283,-122.426133,n,n,n,y,y
Discovery Park,South Beach Trail,6,DSB6,47.659683,-122.4287,y,n,n,y,n
Discovery Park,South Beach Trail,7,DSB7,47.66015,-122.42965,n,n,n,y,n
Magnuson Park,South End Loop,1,MS1,47.6786,-122.254,n,n,y,n,n
Magnuson Park,South End Loop,2,MS2,47.6751,-122.2538,y,n,y,y,n
Magnuson Park,South End Loop,3,MS3,47.674,-122.2533,n,n,n,y,n
Magnuson Park,South End Loop,4,MS4,47.6737,-122.2557,n,n,y,y,y
Magnuson Park,South End Loop,5,MS5,47.6747,-122.257,n,n,y,n,n
Discovery Park,South Loop Trail,1,DSL1,47.657778,-122.405944,n,n,y,y,n
Discovery Park,South Loop Trail,10,DSL10,47.658667,-122.407972,n,n,n,n,y
Discovery Park,South Loop Trail,2,DSL2,47.656167,-122.406056,y,n,n,n,y
Discovery Park,South Loop Trail,3,DSL3,47.655389,-122.408167,y,n,y,y,n
Discovery Park,South Loop Trail,4,DSL4,47.656917,-122.408722,n,y,n,y,y
Discovery Park,South Loop Trail,5,DSL5,47.657361,-122.409889,n,n,n,y,n
Discovery Park,South Loop Trail,6,DSL6,47.655556,-122.410833,n,n,n,y,n
Discovery Park,South Loop Trail,7,DSL7,47.657667,-122.413861,n,n,n,n,n
Discovery Park,South Loop Trail,8,DSL8,47.660083,-122.413028,n,n,n,y,y
Discovery Park,South Loop Trail,9,DSL9,47.659806,-122.40925,n,n,n,y,y
Discovery Park,South Meadow,1,DSM1,47.65465,-122.413467,n,n,y,y,n
Discovery Park,South Meadow,2,DSM2,47.656233,-122.4164,n,n,n,y,n
Discovery Park,South Meadow,3,DSM3,47.658483,-122.417067,n,n,n,y,n
Discovery Park,South Meadow,4,DSM4,47.6595,-122.418317,y,y,n,y,n
Discovery Park,South Meadow,5,DSM5,47.658183,-122.420233,y,n,n,y,n
Discovery Park,South Meadow,6,DSM6,47.657967,-122.423117,n,n,n,y,n
Discovery Park,South Meadow,7,DSM7,47.65685,-122.420567,y,n,y,y,n
Discovery Park,South Meadow,8,DSM8,47.655083,-122.41885,y,y,n,y,n
