"code","American.Crow","American.Robin","Anna's.Hummingbird","Black-capped.Chickadee","Black-headed.Grosbeak","Black-throated.Gray.Warbler","Chestnut-backed.Chickadee","Dark-eyed.Junco","Golden-crowned.Kinglet","Northern.Flicker","Pacific.Wren","Pileated.Woodpecker","Pine.Siskin","Song.Sparrow","Spotted.Towhee","Swainson's.Thrush","Western.Flycatcher","Western.Wood-Pewee","Wilson's.Warbler","American.Goldfinch","Brown.Creeper","Bushtit","Caspian.Tern","Cedar.Waxwing","Hairy.Woodpecker","Hermit.Thrush","Hutton's.Vireo","Orange-crowned.Warbler","Ruby-crowned.Kinglet","Warbling.Vireo","Glaucous-winged.Gull","Hammond's.Flycatcher","Peregrine.Falcon","Yellow-rumped.Warbler","Downy.Woodpecker","Red-breasted.Nuthatch","Townsend's.Warbler","Barred.Owl","Bewick's.Wren","Cooper's.Hawk","House.Finch","Red-tailed.Hawk","Steller's.Jay","Brown-headed.Cowbird","Double-crested.Cormorant","Fox.Sparrow","Violet-green.Swallow","Merlin","Purple.Finch","Red-breasted.Sapsucker","Varied.Thrush","Band-tailed.Pigeon","Great.Blue.Heron","Mallard","Bald.Eagle","Common.Goldeneye","Short-billed.Gull","White-crowned.Sparrow","Common.Raven","Rock.Pigeon","Western.Tanager","European.Starling","Golden-crowned.Sparrow","Red.Crossbill","Red-breasted.Merganser","Belted.Kingfisher","California.Gull","Common.Merganser","Osprey","Bufflehead","White-winged.Scoter","Barn.Swallow","Barrow's.Goldeneye","Common.Loon","Dunlin","Greater.Scaup","Harlequin.Duck","Horned.Grebe","Iceland.Gull","Northern.Pintail","Northern.Shoveler","Pigeon.Guillemot","Red-necked.Grebe","Red-throated.Loon","Rhinoceros.Auklet","Surf.Scoter","Brant","Canada.Goose","Gadwall","Killdeer","Lesser.Scaup","American.Wigeon","Red-winged.Blackbird","Common.Yellowthroat","Hooded.Merganser","Yellow.Warbler","Olive-sided.Flycatcher","Rufous.Hummingbird","Evening.Grosbeak","Savannah.Sparrow","Willow.Flycatcher","Purple.Martin","Brewer's.Blackbird","American.Coot","Ring-billed.Gull","Mourning.Dove","Pied-billed.Grebe","Ring-necked.Duck","Tree.Swallow","Western.Gull","Eurasian.Wigeon","Bonaparte's.Gull","American.Pipit","Lincoln's.Sparrow","Green-winged.Teal","Marsh.Wren","Virginia.Rail","Northern.Rough-winged.Swallow","Green.Heron","Western.Grebe","Spotted.Sandpiper","Snow.Goose","Cackling.Goose","Vaux's.Swift","Sharp-shinned.Hawk"
"DW5",10,9,4,18,1,0,1,1,4,2,4,2,11,21,0,1,6,0,1,1,5,0,0,0,0,0,0,0,4,1,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW6",31,16,8,9,0,4,13,1,1,3,9,4,50,25,2,1,5,0,3,8,3,0,0,0,0,0,0,0,2,0,0,0,0,15,4,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DW7",23,22,2,13,0,4,6,6,0,3,2,0,13,24,2,0,2,0,0,8,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEM1",43,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEM2",27,4,3,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEM3",36,12,2,7,0,0,0,2,0,2,0,0,0,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEM4",17,0,3,16,0,0,0,4,12,0,0,0,0,25,2,0,0,0,0,0,0,16,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEM5",22,16,5,36,0,0,1,5,7,5,0,0,0,13,6,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,2,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEM6",28,6,2,6,0,0,0,0,0,4,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEM7",73,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,83,0,0,0,0,0,0,154,4,2,3,0,0,0,0,11,0,0,0,0,62,21,14,13,0,44,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,91,14,1,0,303,0,0,0,0,0,0,0,0,0,0,0,2700,14,0,3,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
